Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuiteWebUI,Chrome 108.0.0.0,,,2022-12-28 11:15:06,2022-12-28 11:18:35,3m - 29.156s,PASSED
,,,,,,,
Test Cases/Login,Chrome 108.0.0.0,,,2022-12-28 11:15:06,2022-12-28 11:16:09,1m - 3.271s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-28 11:15:06,2022-12-28 11:15:14,7.735s,PASSED
maximizeWindow(),Chrome 108.0.0.0,,,2022-12-28 11:15:14,2022-12-28 11:15:16,1.984s,PASSED
delay(10),Chrome 108.0.0.0,,,2022-12-28 11:15:16,2022-12-28 11:15:26,10.053s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 108.0.0.0,,,2022-12-28 11:15:26,2022-12-28 11:15:37,11.042s,PASSED
"verifyElementText(findTestObject(""Object Repository/Login/Page_OrangeHRM/verifAccessWeb""), ""Login"")",Chrome 108.0.0.0,,,2022-12-28 11:15:37,2022-12-28 11:15:40,2.589s,PASSED
takeScreenshot(),Chrome 108.0.0.0,,,2022-12-28 11:15:40,2022-12-28 11:15:41,0.801s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_OrangeHRM/inputUsername""), ""admin1"")",Chrome 108.0.0.0,,,2022-12-28 11:15:41,2022-12-28 11:15:42,1.259s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_OrangeHRM/inputPassword""), ""admin2"")",Chrome 108.0.0.0,,,2022-12-28 11:15:42,2022-12-28 11:15:43,1.133s,PASSED
"click(findTestObject(""Object Repository/Login/Page_OrangeHRM/button_Login""))",Chrome 108.0.0.0,,,2022-12-28 11:15:43,2022-12-28 11:15:45,1.899s,PASSED
"verifyElementText(findTestObject(""Object Repository/Login/Page_OrangeHRM/alertInvalid""), ""Invalid credentials"")",Chrome 108.0.0.0,,,2022-12-28 11:15:45,2022-12-28 11:15:46,1.249s,PASSED
delay(5),Chrome 108.0.0.0,,,2022-12-28 11:15:46,2022-12-28 11:15:51,5.015s,PASSED
takeScreenshot(),Chrome 108.0.0.0,,,2022-12-28 11:15:51,2022-12-28 11:15:52,0.600s,PASSED
"click(findTestObject(""Object Repository/Login/Page_OrangeHRM/button_Login""))",Chrome 108.0.0.0,,,2022-12-28 11:15:52,2022-12-28 11:15:52,0.571s,PASSED
"verifyElementText(findTestObject(""Object Repository/Login/Page_OrangeHRM/alertRequired""), ""Required"")",Chrome 108.0.0.0,,,2022-12-28 11:15:52,2022-12-28 11:15:53,0.619s,PASSED
delay(5),Chrome 108.0.0.0,,,2022-12-28 11:15:53,2022-12-28 11:15:58,5.012s,PASSED
takeScreenshot(),Chrome 108.0.0.0,,,2022-12-28 11:15:58,2022-12-28 11:15:59,0.723s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_OrangeHRM/inputUsername""), ""Admin"")",Chrome 108.0.0.0,,,2022-12-28 11:15:59,2022-12-28 11:16:00,1.029s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_OrangeHRM/inputPassword""), ""admin123"")",Chrome 108.0.0.0,,,2022-12-28 11:16:00,2022-12-28 11:16:01,1.057s,PASSED
"click(findTestObject(""Object Repository/Login/Page_OrangeHRM/button_Login""))",Chrome 108.0.0.0,,,2022-12-28 11:16:01,2022-12-28 11:16:01,0.654s,PASSED
"verifyElementText(findTestObject(""Object Repository/Login/Page_OrangeHRM/verifDashboard""), ""Dashboard"")",Chrome 108.0.0.0,,,2022-12-28 11:16:01,2022-12-28 11:16:03,2.044s,PASSED
delay(5),Chrome 108.0.0.0,,,2022-12-28 11:16:03,2022-12-28 11:16:08,5.013s,PASSED
takeScreenshot(),Chrome 108.0.0.0,,,2022-12-28 11:16:08,2022-12-28 11:16:09,0.782s,PASSED
,,,,,,,
Test Cases/Admin,Chrome 108.0.0.0,,,2022-12-28 11:16:09,2022-12-28 11:17:25,1m - 16.083s,PASSED
